login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;en;system;system
anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;en;system;system
admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;en;system;system
user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;en;system;system
seller;$2a$10$U28z8aJDjWxDrZZtgXyNGut/EFSyD7w2aA702aNlI41mwhmanZKPW;Seller;Seller;seller@localhost;;true;en;system;system
curier;$2a$10$b2m8.f2nm2VFIneDJ3YOAOcHr/outZF3lYgDbFrqZiS57C90cCfLa;Curier;Curier;curier@localhost;;true;en;system;system
ivan;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;ivan;ivan;ivan@localhost;;true;en;system;system
anton;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;anton;anton;anton@localhost;;true;en;system;system
pylyp;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;pylyp;pylyp;pylyp@localhost;;true;en;system;system
oleksii;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;oleksii;oleksii;oleksii@localhost;;true;en;system;system
oleksa;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;oleksa;oleksa;oleksa@localhost;;true;en;system;system
natalia;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;natalia;natalia;natalia@localhost;;true;en;system;system
maria;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;maria;maria;maria@localhost;;true;en;system;system
anna;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;anna;anna;anna@localhost;;true;en;system;system
michael;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;michael;michael;michael@localhost;;true;en;system;system
antonio;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;antonio;antonio;antonio@localhost;;true;en;system;system
eveline;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;eveline;eveline;eveline@localhost;;true;en;system;system
artem;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;artem;artem;artem@localhost;;true;en;system;system
nikolai;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;nikolai;nikolai;nikolai@localhost;;true;en;system;system
hanna;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;hanna;hanna;hanna@localhost;;true;en;system;system
mikola;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;mikola;mikola;mikola@localhost;;true;en;system;system
ostap;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;ostap;ostap;ostap@localhost;;true;en;system;system
lesya;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;lesya;lesya;lesya@localhost;;true;en;system;system
ekaterina;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;ekaterina;ekaterina;ekaterina@localhost;;true;en;system;system
elizaveta;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;elizaveta;elizaveta;elizaveta@localhost;;true;en;system;system

